symbol,date,open,high,low,close,volume,amount
600008.SH,2026-04-08,3.09,3.17,3.08,3.17,0,1036833
600008.SH,2026-04-09,3.16,3.17,3.12,3.13,0,727755
600008.SH,2026-04-10,3.14,3.16,3.12,3.13,0,654842
600008.SH,2026-04-13,3.1,3.11,3.02,3.05,0,1355779
600008.SH,2026-04-14,3.05,3.06,3.02,3.04,0,756032
600008.SH,2026-04-15,3.04,3.06,3.03,3.05,0,573833
600008.SH,2026-04-16,3.04,3.06,3.03,3.05,0,561036
600008.SH,2026-04-17,3.06,3.06,3.03,3.04,0,452206
600008.SH,2026-04-20,3.05,3.06,3.04,3.04,0,580956
600008.SH,2026-04-21,3.04,3.08,3.04,3.06,0,651826
600008.SH,2026-04-22,3.06,3.07,3.04,3.05,0,478064
600008.SH,2026-04-23,3.06,3.07,3.03,3.06,0,721737
600008.SH,2026-04-24,3.05,3.06,3.03,3.05,0,670296
600008.SH,2026-04-27,3.05,3.05,3.01,3.01,0,835179
600008.SH,2026-04-28,3.01,3.04,3.01,3.04,0,666394
600008.SH,2026-04-29,3.04,3.06,3.02,3.05,0,595653
600008.SH,2026-04-30,3.06,3.11,3.05,3.06,0,808596
600008.SH,2026-05-06,3.06,3.1,3.05,3.08,0,932921
600008.SH,2026-05-07,3.08,3.1,3.07,3.09,0,647449
600008.SH,2026-05-08,3.09,3.15,3.08,3.1,0,923367
600008.SH,2026-05-11,3.1,3.12,3.09,3.11,0,681070
600008.SH,2026-05-12,3.11,3.15,3.09,3.13,0,964323
600008.SH,2026-05-13,3.13,3.16,3.12,3.15,0,840311
600008.SH,2026-05-14,3.16,3.16,3.1,3.11,0,870848
600008.SH,2026-05-15,3.11,3.12,3.07,3.08,0,921251
600008.SH,2026-05-18,3.08,3.09,3.05,3.08,0,764652
600008.SH,2026-05-19,3.08,3.16,3.07,3.15,0,1060016
600008.SH,2026-05-20,3.15,3.15,3.09,3.12,0,826667
600008.SH,2026-05-21,3.12,3.14,3.05,3.05,0,860947
600008.SH,2026-05-22,3.06,3.08,3.04,3.06,0,696860
