symbol,date,open,high,low,close,volume,amount
513700.SH,2021-08-06,0.952,0.959,0.928,0.933,26630400,25007418
513700.SH,2021-08-09,0.933,0.941,0.919,0.94,8844800,8251098
513700.SH,2021-08-10,0.942,0.965,0.942,0.963,7794100,7454999
513700.SH,2021-08-11,0.958,0.968,0.938,0.939,12908200,12252774
513700.SH,2021-08-12,0.939,0.939,0.91,0.914,20307100,18630769
513700.SH,2021-08-13,0.915,0.93,0.9,0.913,28432800,25885033
513700.SH,2021-08-16,0.918,0.918,0.899,0.899,15404700,13928286
513700.SH,2021-08-17,0.901,0.911,0.875,0.88,16722200,14942917
513700.SH,2021-08-18,0.885,0.897,0.882,0.883,8904900,7916109
513700.SH,2021-08-19,0.885,0.897,0.875,0.875,9203000,8150405
513700.SH,2021-08-20,0.877,0.88,0.809,0.824,20227400,16769072
513700.SH,2021-08-23,0.822,0.854,0.821,0.846,17321000,14638702
513700.SH,2021-08-24,0.857,0.887,0.855,0.877,28455500,24963121
513700.SH,2021-08-25,0.882,0.903,0.871,0.874,24357900,21636412
513700.SH,2021-08-26,0.869,0.874,0.841,0.847,17551200,15101615
513700.SH,2021-08-27,0.849,0.861,0.839,0.84,8033800,6813895
513700.SH,2021-08-30,0.847,0.86,0.84,0.858,19548200,16718413
513700.SH,2021-08-31,0.858,0.866,0.844,0.864,14604200,12524711
513700.SH,2021-09-01,0.87,0.882,0.855,0.878,25350900,22117417
513700.SH,2021-09-02,0.883,0.896,0.875,0.876,5648800,5011197
513700.SH,2021-09-03,0.874,0.897,0.874,0.889,8486700,7552139
513700.SH,2021-09-06,0.889,0.914,0.884,0.911,12544400,11349663
513700.SH,2021-09-07,0.912,0.915,0.9,0.904,4877900,4409738
513700.SH,2021-09-08,0.906,0.914,0.896,0.898,5149200,4647961
513700.SH,2021-09-09,0.895,0.903,0.882,0.884,7084700,6285193
513700.SH,2021-09-10,0.881,0.894,0.881,0.888,6080300,5408428
513700.SH,2021-09-13,0.888,0.896,0.867,0.874,6637100,5804231
513700.SH,2021-09-14,0.878,0.902,0.877,0.891,14991300,13378046
513700.SH,2021-09-15,0.891,0.891,0.872,0.873,5979200,5251555
513700.SH,2021-09-16,0.873,0.873,0.849,0.852,8847100,7571683
513700.SH,2021-09-17,0.854,0.905,0.854,0.898,15256000,13578825
513700.SH,2021-09-22,0.891,0.915,0.889,0.907,28223800,25529664
513700.SH,2021-09-23,0.905,0.905,0.883,0.886,9594700,8531966
513700.SH,2021-09-24,0.89,0.899,0.88,0.883,7535200,6699458
513700.SH,2021-09-27,0.884,0.898,0.881,0.881,7490900,6652485
513700.SH,2021-09-28,0.886,0.886,0.871,0.885,7258100,6377438
513700.SH,2021-09-29,0.88,0.88,0.857,0.861,6157500,5295097
513700.SH,2021-09-30,0.865,0.88,0.862,0.879,4405600,3844051
513700.SH,2021-10-08,0.881,0.896,0.863,0.868,6875600,6025293
513700.SH,2021-10-11,0.866,0.866,0.851,0.854,10262800,8779653
513700.SH,2021-10-12,0.851,0.853,0.836,0.838,13641900,11557112
513700.SH,2021-10-13,0.84,0.844,0.84,0.844,3252800,2739711
513700.SH,2021-10-14,0.842,0.845,0.841,0.843,1514100,1275561
513700.SH,2021-10-15,0.843,0.844,0.837,0.841,7382500,6201090
513700.SH,2021-10-18,0.84,0.847,0.836,0.843,4115500,3460733
513700.SH,2021-10-19,0.843,0.857,0.843,0.856,16712400,14252401
513700.SH,2021-10-20,0.856,0.868,0.853,0.861,13610600,11729202
513700.SH,2021-10-21,0.864,0.865,0.844,0.848,9576000,8150126
513700.SH,2021-10-22,0.849,0.856,0.846,0.854,11109000,9466411
513700.SH,2021-10-25,0.853,0.86,0.85,0.851,8253500,7051151
513700.SH,2021-10-26,0.851,0.853,0.837,0.838,11660300,9810553
513700.SH,2021-10-27,0.838,0.838,0.816,0.818,11200300,9210600
513700.SH,2021-10-28,0.817,0.82,0.807,0.808,9002000,7307599
513700.SH,2021-10-29,0.808,0.812,0.802,0.81,7474300,6047536
513700.SH,2021-11-01,0.81,0.814,0.786,0.79,10842300,8609585
513700.SH,2021-11-02,0.793,0.804,0.776,0.776,12220700,9642055
513700.SH,2021-11-03,0.779,0.794,0.776,0.779,11526700,9010506
513700.SH,2021-11-04,0.784,0.786,0.768,0.773,6987800,5411877
513700.SH,2021-11-05,0.769,0.78,0.767,0.77,9864600,7623386
513700.SH,2021-11-08,0.771,0.773,0.748,0.753,8902800,6698536
513700.SH,2021-11-09,0.754,0.776,0.753,0.776,13922800,10727003
513700.SH,2021-11-10,0.778,0.798,0.772,0.793,16915900,13327483
513700.SH,2021-11-11,0.799,0.807,0.79,0.799,11536900,9221030
513700.SH,2021-11-12,0.802,0.807,0.796,0.798,12512200,10018928
513700.SH,2021-11-15,0.801,0.816,0.801,0.806,9979800,8083722
513700.SH,2021-11-16,0.807,0.83,0.807,0.825,16262500,13356577
513700.SH,2021-11-17,0.83,0.836,0.828,0.834,7669300,6382117
513700.SH,2021-11-18,0.828,0.828,0.815,0.816,5899900,4835073
513700.SH,2021-11-19,0.817,0.825,0.808,0.817,3995600,3264995
513700.SH,2021-11-22,0.819,0.824,0.802,0.803,6908100,5594034
513700.SH,2021-11-23,0.803,0.804,0.79,0.792,7398700,5869227
513700.SH,2021-11-24,0.793,0.799,0.784,0.793,9622100,7607894
513700.SH,2021-11-25,0.793,0.804,0.792,0.803,12536300,10032563
513700.SH,2021-11-26,0.804,0.806,0.788,0.795,13484400,10729846
513700.SH,2021-11-29,0.798,0.812,0.788,0.794,13905600,11101983
513700.SH,2021-11-30,0.792,0.798,0.774,0.781,23117700,18117653
513700.SH,2021-12-01,0.781,0.786,0.774,0.776,10993100,8535055
513700.SH,2021-12-02,0.777,0.777,0.764,0.768,13809900,10619148
513700.SH,2021-12-03,0.768,0.772,0.763,0.771,15317300,11766066
