symbol,date,open,high,low,close,volume,amount
159172.SZ,2026-03-20,0.972,0.989,0.962,0.963,30064194,29229836
159172.SZ,2026-03-23,0.952,0.953,0.902,0.905,25678354,23787351
159172.SZ,2026-03-24,0.919,0.92,0.897,0.913,14524500,13164891
159172.SZ,2026-03-25,0.918,0.928,0.909,0.924,15009229,13827807
159172.SZ,2026-03-26,0.923,0.93,0.914,0.917,13515906,12452687
159172.SZ,2026-03-27,0.916,0.934,0.901,0.933,13416227,12466299
159172.SZ,2026-03-30,0.942,0.942,0.924,0.93,12400086,11527948
159172.SZ,2026-03-31,0.931,0.935,0.91,0.911,13082914,12017634
159172.SZ,2026-04-01,0.913,0.92,0.909,0.919,10887967,9958844
159172.SZ,2026-04-02,0.919,0.946,0.919,0.933,20510149,19161307
159172.SZ,2026-04-03,0.93,0.93,0.909,0.914,13641859,12482375
159172.SZ,2026-04-07,0.918,0.941,0.905,0.928,19851225,18392112
159172.SZ,2026-04-08,0.93,0.941,0.929,0.941,18160039,17023107
159172.SZ,2026-04-09,0.944,0.944,0.925,0.929,10954936,10196385
159172.SZ,2026-04-10,0.929,0.93,0.92,0.923,15683803,14505462
159172.SZ,2026-04-13,0.924,0.938,0.916,0.935,15450037,14372317
159172.SZ,2026-04-14,0.935,0.959,0.926,0.958,27918952,26426104
159172.SZ,2026-04-15,0.958,0.963,0.948,0.962,18145552,17335809
159172.SZ,2026-04-16,0.966,0.966,0.95,0.962,16294104,15594661
159172.SZ,2026-04-17,0.956,0.961,0.945,0.948,14346532,13614782
159172.SZ,2026-04-20,0.953,0.954,0.94,0.944,23611046,22281798
159172.SZ,2026-04-21,0.944,0.95,0.94,0.944,12431127,11741453
159172.SZ,2026-04-22,0.942,0.953,0.933,0.938,24260550,22850899
159172.SZ,2026-04-23,0.938,0.938,0.916,0.92,18192816,16782618
159172.SZ,2026-04-24,0.917,0.917,0.906,0.911,12137510,11049488
159172.SZ,2026-04-27,0.911,0.915,0.898,0.903,18408881,16598415
159172.SZ,2026-04-28,0.899,0.912,0.897,0.912,19274886,17422427
159172.SZ,2026-04-29,0.912,0.94,0.911,0.929,23454992,21771233
159172.SZ,2026-04-30,0.93,0.945,0.923,0.938,22482283,21061271
159172.SZ,2026-05-06,0.937,0.939,0.93,0.939,20476658,19137608
159172.SZ,2026-05-07,0.941,0.941,0.926,0.93,15630116,14537488
159172.SZ,2026-05-08,0.93,0.933,0.92,0.922,14738766,13600804
159172.SZ,2026-05-11,0.922,0.936,0.915,0.928,20770875,19299222
159172.SZ,2026-05-12,0.928,0.929,0.906,0.909,30556439,27931890
159172.SZ,2026-05-13,0.907,0.908,0.896,0.897,23495409,21103413
159172.SZ,2026-05-14,0.895,0.919,0.895,0.911,23895533,21658259
159172.SZ,2026-05-15,0.911,0.911,0.892,0.9,17325049,15616815
159172.SZ,2026-05-18,0.897,0.9,0.874,0.879,22391677,19711512
159172.SZ,2026-05-19,0.88,0.886,0.867,0.88,21908269,19193674
159172.SZ,2026-05-20,0.879,0.88,0.866,0.869,15287349,13309696
159172.SZ,2026-05-21,0.867,0.879,0.855,0.857,15704819,13665907
159172.SZ,2026-05-22,0.859,0.861,0.846,0.848,16669451,14168594
