symbol,date,open,high,low,close,volume,amount
159170.SZ,2026-03-19,0.98,0.998,0.977,0.978,66416638,65387084
159170.SZ,2026-03-20,0.97,0.974,0.947,0.947,19713797,18941292
159170.SZ,2026-03-23,0.938,0.938,0.906,0.911,24162741,22298564
159170.SZ,2026-03-24,0.922,0.939,0.916,0.935,16035589,14853609
159170.SZ,2026-03-25,0.937,0.968,0.937,0.953,21169650,20146295
159170.SZ,2026-03-26,0.955,0.957,0.934,0.936,10398224,9803418
159170.SZ,2026-03-27,0.934,0.944,0.923,0.935,11586577,10867074
159170.SZ,2026-03-30,0.928,0.928,0.907,0.916,13142157,12034276
159170.SZ,2026-03-31,0.92,0.924,0.903,0.906,14841780,13520959
159170.SZ,2026-04-01,0.932,0.933,0.918,0.931,14423982,13337690
159170.SZ,2026-04-02,0.929,0.929,0.896,0.896,11637288,10540266
159170.SZ,2026-04-03,0.909,0.914,0.901,0.901,6151110,5573083
159170.SZ,2026-04-07,0.901,0.916,0.901,0.905,7564933,6864934
159170.SZ,2026-04-08,0.928,0.96,0.923,0.957,34496739,32706426
159170.SZ,2026-04-09,0.948,0.948,0.938,0.939,16421312,15466417
159170.SZ,2026-04-10,0.948,0.957,0.938,0.94,24936243,23597222
159170.SZ,2026-04-13,0.931,0.94,0.921,0.924,19701227,18216203
159170.SZ,2026-04-14,0.93,0.941,0.921,0.928,20071325,18627746
159170.SZ,2026-04-15,0.94,0.953,0.938,0.941,17265940,16301218
159170.SZ,2026-04-16,0.95,0.98,0.949,0.98,66764963,64807123
159170.SZ,2026-04-17,0.988,0.988,0.962,0.969,29501002,28580273
159170.SZ,2026-04-20,0.969,0.986,0.968,0.979,26290794,25772049
159170.SZ,2026-04-21,0.979,0.982,0.969,0.974,13080547,12735913
159170.SZ,2026-04-22,0.965,0.965,0.951,0.957,20419551,19506716
159170.SZ,2026-04-23,0.96,0.96,0.938,0.943,21695223,20475332
159170.SZ,2026-04-24,0.943,0.946,0.926,0.942,19732748,18482236
159170.SZ,2026-04-27,0.944,0.948,0.933,0.934,37859046,35510204
159170.SZ,2026-04-28,0.926,0.935,0.909,0.911,27247519,25024900
159170.SZ,2026-04-29,0.911,0.926,0.91,0.922,21521912,19841826
159170.SZ,2026-04-30,0.922,0.922,0.903,0.914,38186342,34765922
159170.SZ,2026-05-06,0.918,0.932,0.915,0.923,21771028,20163966
159170.SZ,2026-05-07,0.937,0.954,0.937,0.95,37811122,35837125
159170.SZ,2026-05-08,0.95,0.961,0.943,0.959,45707255,43569004
159170.SZ,2026-05-11,0.96,0.964,0.945,0.955,24229827,23008624
159170.SZ,2026-05-12,0.958,0.958,0.941,0.941,30524319,28932985
159170.SZ,2026-05-13,0.938,0.95,0.93,0.943,31552143,29582668
159170.SZ,2026-05-14,0.969,0.979,0.944,0.944,35268335,33786124
159170.SZ,2026-05-15,0.953,0.956,0.908,0.914,40485361,37357018
159170.SZ,2026-05-18,0.907,0.918,0.897,0.902,18154298,16390586
159170.SZ,2026-05-19,0.903,0.917,0.903,0.912,27832119,25330640
159170.SZ,2026-05-20,0.911,0.911,0.893,0.899,26996866,24223116
159170.SZ,2026-05-21,0.9,0.906,0.876,0.877,32345140,28851219
159170.SZ,2026-05-22,0.907,0.908,0.88,0.891,24593633,21811674
