symbol,date,open,high,low,close,volume,amount
159859.SZ,2021-07-07,0.986,1.029,0.983,1.019,126425918,127147361
159859.SZ,2021-07-08,1.017,1.028,1.004,1.005,22436329,22693654
159859.SZ,2021-07-09,0.98,1.013,0.979,1.008,17547531,17529413
159859.SZ,2021-07-12,1.008,1.047,0.996,1.044,36710874,38008126
159859.SZ,2021-07-13,1.055,1.057,1.034,1.051,29808023,31205219
159859.SZ,2021-07-14,1.051,1.088,1.045,1.068,28081675,30016021
159859.SZ,2021-07-15,1.068,1.073,1.055,1.071,26246854,27895522
159859.SZ,2021-07-16,1.07,1.075,1.053,1.062,30801484,32797722
159859.SZ,2021-07-19,1.061,1.093,1.061,1.081,24443226,26451076
159859.SZ,2021-07-20,1.083,1.102,1.076,1.084,22989190,24936931
159859.SZ,2021-07-21,1.084,1.105,1.076,1.102,25027159,27332870
159859.SZ,2021-07-22,1.102,1.104,1.059,1.064,31864995,34181059
159859.SZ,2021-07-23,1.066,1.066,1.027,1.03,26675221,27691834
159859.SZ,2021-07-26,1.029,1.029,0.95,0.974,28426552,27979792
159859.SZ,2021-07-27,0.972,0.983,0.953,0.955,27339525,26622707
159859.SZ,2021-07-28,0.955,0.982,0.94,0.982,18804815,18184722
159859.SZ,2021-07-29,0.984,1.019,0.984,1.01,21087356,21223673
159859.SZ,2021-07-30,1.01,1.014,0.982,1.01,27391928,27244366
159859.SZ,2021-08-02,1.03,1.03,0.978,1.021,28056959,28190642
159859.SZ,2021-08-03,1.021,1.077,1.013,1.074,38686228,40670810
159859.SZ,2021-08-04,1.08,1.082,1.051,1.074,33451554,35751182
159859.SZ,2021-08-05,1.073,1.089,1.06,1.072,33541953,36085751
159859.SZ,2021-08-06,1.06,1.061,1.016,1.024,33693233,34817052
159859.SZ,2021-08-09,1.028,1.028,1.006,1.02,25617820,26019013
159859.SZ,2021-08-10,1.022,1.03,1.011,1.026,23724311,24182192
159859.SZ,2021-08-11,1.023,1.023,1.001,1.002,27780115,27974989
159859.SZ,2021-08-12,1.0,1.005,0.982,0.99,28515300,28242771
159859.SZ,2021-08-13,0.995,0.998,0.976,0.984,27091302,26596491
159859.SZ,2021-08-16,0.974,0.989,0.973,0.975,23097901,22611579
159859.SZ,2021-08-17,0.975,0.981,0.928,0.935,37935902,36090634
159859.SZ,2021-08-18,0.94,0.95,0.931,0.936,27862800,26054950
159859.SZ,2021-08-19,0.936,0.953,0.936,0.946,24853100,23483175
159859.SZ,2021-08-20,0.946,0.946,0.895,0.905,34459406,31351764
159859.SZ,2021-08-23,0.902,0.934,0.899,0.931,30847606,28418171
159859.SZ,2021-08-24,0.931,0.951,0.931,0.949,28011904,26524944
159859.SZ,2021-08-25,0.949,0.959,0.94,0.953,23491705,22327284
159859.SZ,2021-08-26,0.953,0.953,0.916,0.92,27683804,25625497
159859.SZ,2021-08-27,0.923,0.942,0.916,0.919,19491000,18040905
159859.SZ,2021-08-30,0.924,0.936,0.915,0.92,23762628,21957715
159859.SZ,2021-08-31,0.921,0.931,0.899,0.904,28772806,26126387
159859.SZ,2021-09-01,0.903,0.923,0.883,0.911,29975007,27167689
159859.SZ,2021-09-02,0.911,0.916,0.87,0.874,40133505,35459630
159859.SZ,2021-09-03,0.874,0.878,0.857,0.869,29893706,26031380
159859.SZ,2021-09-06,0.868,0.922,0.868,0.916,38904102,35270406
159859.SZ,2021-09-07,0.916,0.918,0.902,0.912,30650912,27830781
159859.SZ,2021-09-08,0.917,0.92,0.901,0.908,29597601,26924569
159859.SZ,2021-09-09,0.908,0.916,0.899,0.906,27643700,24993984
159859.SZ,2021-09-10,0.906,0.906,0.889,0.902,28688102,25765771
159859.SZ,2021-09-13,0.905,0.92,0.892,0.896,30723101,27644333
159859.SZ,2021-09-14,0.895,0.914,0.892,0.903,28010406,25405971
159859.SZ,2021-09-15,0.904,0.906,0.887,0.893,29584105,26472289
159859.SZ,2021-09-16,0.892,0.897,0.879,0.888,26956908,23959163
159859.SZ,2021-09-17,0.888,0.939,0.88,0.934,46359804,42473354
159859.SZ,2021-09-22,0.933,0.945,0.915,0.928,29405100,27230627
159859.SZ,2021-09-23,0.93,0.939,0.915,0.925,27718300,25625279
159859.SZ,2021-09-24,0.924,0.937,0.913,0.924,28567804,26451943
159859.SZ,2021-09-27,0.925,0.95,0.919,0.936,30866707,28918719
159859.SZ,2021-09-28,0.938,0.949,0.921,0.933,29093200,27153728
159859.SZ,2021-09-29,0.93,0.934,0.916,0.917,19107301,17590709
159859.SZ,2021-09-30,0.919,0.935,0.919,0.93,16630700,15444725
159859.SZ,2021-10-08,0.923,0.931,0.903,0.916,25485809,23384999
159859.SZ,2021-10-11,0.917,0.924,0.894,0.896,32973800,29839722
159859.SZ,2021-10-12,0.9,0.908,0.884,0.892,25769205,23096851
159859.SZ,2021-10-13,0.895,0.914,0.89,0.91,29915500,27014813
159859.SZ,2021-10-14,0.909,0.917,0.901,0.905,24957306,22637259
159859.SZ,2021-10-15,0.905,0.905,0.892,0.899,24068100,21629270
159859.SZ,2021-10-18,0.9,0.9,0.877,0.883,29514201,26071454
159859.SZ,2021-10-19,0.883,0.903,0.883,0.903,26102913,23432313
159859.SZ,2021-10-20,0.903,0.908,0.882,0.891,28122700,25003426
159859.SZ,2021-10-21,0.891,0.899,0.883,0.888,24167600,21504266
159859.SZ,2021-10-22,0.887,0.897,0.882,0.892,26909221,23980843
159859.SZ,2021-10-25,0.897,0.902,0.888,0.893,20605101,18404540
159859.SZ,2021-10-26,0.894,0.898,0.881,0.884,22332301,19814402
159859.SZ,2021-10-27,0.881,0.885,0.863,0.865,20822122,18193687
159859.SZ,2021-10-28,0.865,0.877,0.861,0.866,16334200,14145579
159859.SZ,2021-10-29,0.866,0.883,0.85,0.88,20463303,17841343
159859.SZ,2021-11-01,0.879,0.883,0.851,0.851,33903215,29115968
159859.SZ,2021-11-02,0.852,0.857,0.836,0.839,25574800,21658560
159859.SZ,2021-11-03,0.839,0.855,0.839,0.847,22756100,19288594
159859.SZ,2021-11-04,0.85,0.853,0.837,0.841,24261719,20430152
159859.SZ,2021-11-05,0.84,0.849,0.835,0.838,25141402,21181772
159859.SZ,2021-11-08,0.83,0.835,0.806,0.814,36519101,29877418
159859.SZ,2021-11-09,0.813,0.824,0.812,0.821,26964417,22112881
159859.SZ,2021-11-10,0.821,0.85,0.81,0.846,39253100,32586609
159859.SZ,2021-11-11,0.845,0.85,0.835,0.841,27218300,22864811
159859.SZ,2021-11-12,0.841,0.843,0.835,0.839,22419801,18789949
159859.SZ,2021-11-15,0.843,0.857,0.838,0.856,27522006,23439154
159859.SZ,2021-11-16,0.858,0.891,0.857,0.891,46836909,41153958
159859.SZ,2021-11-17,0.891,0.9,0.884,0.888,32930351,29292909
159859.SZ,2021-11-18,0.881,0.891,0.873,0.876,28647807,25232027
159859.SZ,2021-11-19,0.876,0.878,0.867,0.877,24847701,21667410
159859.SZ,2021-11-22,0.877,0.877,0.862,0.865,37558600,32468005
159859.SZ,2021-11-23,0.865,0.875,0.862,0.871,33613601,29157749
159859.SZ,2021-11-24,0.869,0.887,0.864,0.887,35315700,30951917
159859.SZ,2021-11-25,0.89,0.896,0.878,0.891,38543100,34175525
159859.SZ,2021-11-26,0.891,0.904,0.889,0.89,36463702,32656052
159859.SZ,2021-11-29,0.915,0.928,0.899,0.904,42651516,38842935
159859.SZ,2021-11-30,0.898,0.902,0.886,0.9,39805910,35573155
159859.SZ,2021-12-01,0.9,0.9,0.88,0.882,35907500,31816064
159859.SZ,2021-12-02,0.88,0.885,0.87,0.871,28781224,25244584
159859.SZ,2021-12-03,0.868,0.881,0.868,0.874,26909800,23544674
159859.SZ,2021-12-06,0.875,0.875,0.85,0.851,45123301,38827218
159859.SZ,2021-12-07,0.853,0.861,0.85,0.855,29049100,24840803
159859.SZ,2021-12-08,0.858,0.868,0.853,0.868,26690800,22995445
159859.SZ,2021-12-09,0.869,0.89,0.863,0.887,47827811,42030878
159859.SZ,2021-12-10,0.886,0.888,0.877,0.882,25072000,22133560
159859.SZ,2021-12-13,0.882,0.888,0.875,0.877,30269002,26656224
159859.SZ,2021-12-14,0.878,0.889,0.878,0.881,31713700,28023583
159859.SZ,2021-12-15,0.881,0.881,0.853,0.854,44096700,38305091
159859.SZ,2021-12-16,0.851,0.867,0.85,0.86,28703601,24661550
159859.SZ,2021-12-17,0.861,0.87,0.85,0.851,33851909,28992741
159859.SZ,2021-12-20,0.85,0.854,0.83,0.831,34777300,29291731
159859.SZ,2021-12-21,0.83,0.837,0.827,0.834,25440800,21169606
159859.SZ,2021-12-22,0.834,0.834,0.827,0.828,25286100,20985873
159859.SZ,2021-12-23,0.829,0.833,0.817,0.819,31017900,25519678
159859.SZ,2021-12-24,0.819,0.826,0.816,0.82,28456000,23336468
159859.SZ,2021-12-27,0.818,0.823,0.813,0.823,31101603,25407700
159859.SZ,2021-12-28,0.825,0.829,0.814,0.829,30256803,24836108
159859.SZ,2021-12-29,0.829,0.839,0.82,0.82,28341500,23478669
159859.SZ,2021-12-30,0.817,0.825,0.815,0.823,23155300,18977007
159859.SZ,2021-12-31,0.823,0.826,0.818,0.821,29323200,24097633
159859.SZ,2022-01-04,0.817,0.817,0.795,0.797,47715615,38217290
159859.SZ,2022-01-05,0.796,0.796,0.782,0.784,35407602,27890708
159859.SZ,2022-01-06,0.783,0.785,0.77,0.777,35044701,27167238
159859.SZ,2022-01-07,0.778,0.783,0.772,0.777,24519900,19059429
159859.SZ,2022-01-10,0.777,0.791,0.774,0.79,30499626,23977339
159859.SZ,2022-01-11,0.79,0.797,0.786,0.793,31379100,24799078
159859.SZ,2022-01-12,0.792,0.806,0.79,0.804,29792600,23832681
159859.SZ,2022-01-13,0.804,0.808,0.793,0.794,25584400,20491275
159859.SZ,2022-01-14,0.789,0.804,0.784,0.8,28595919,22671675
159859.SZ,2022-01-17,0.798,0.799,0.789,0.796,25612239,20355065
159859.SZ,2022-01-18,0.796,0.801,0.786,0.789,23168201,18364881
159859.SZ,2022-01-19,0.789,0.789,0.761,0.765,41202601,31817117
159859.SZ,2022-01-20,0.761,0.765,0.746,0.75,49048104,36980692
159859.SZ,2022-01-21,0.747,0.75,0.729,0.732,37948801,27938889
159859.SZ,2022-01-24,0.728,0.736,0.723,0.73,22849902,16675182
159859.SZ,2022-01-25,0.726,0.732,0.711,0.712,28688703,20711421
159859.SZ,2022-01-26,0.71,0.717,0.695,0.701,27943203,19643869
159859.SZ,2022-01-27,0.7,0.703,0.691,0.691,27911502,19466641
159859.SZ,2022-01-28,0.691,0.699,0.682,0.687,21421900,14753926
159859.SZ,2022-02-07,0.69,0.707,0.69,0.698,26087300,18280632
159859.SZ,2022-02-08,0.698,0.698,0.677,0.69,26535703,18095076
159859.SZ,2022-02-09,0.688,0.697,0.681,0.696,27701102,19099853
159859.SZ,2022-02-10,0.696,0.696,0.683,0.686,26891102,18488603
159859.SZ,2022-02-11,0.68,0.684,0.66,0.662,38832200,26051776
159859.SZ,2022-02-14,0.661,0.672,0.657,0.665,25093000,16735527
159859.SZ,2022-02-15,0.669,0.691,0.663,0.69,48810700,33310186
159859.SZ,2022-02-16,0.69,0.702,0.69,0.696,30360201,21173610
159859.SZ,2022-02-17,0.696,0.701,0.69,0.697,17020603,11864835
159859.SZ,2022-02-18,0.694,0.702,0.687,0.702,24119300,16772676
159859.SZ,2022-02-21,0.709,0.711,0.7,0.704,22161900,15567868
159859.SZ,2022-02-22,0.703,0.703,0.689,0.693,24022923,16637419
159859.SZ,2022-02-23,0.693,0.706,0.693,0.706,22149702,15535232
159859.SZ,2022-02-24,0.707,0.712,0.683,0.69,28761013,20229070
159859.SZ,2022-02-25,0.692,0.718,0.692,0.715,34073300,24274734
159859.SZ,2022-02-28,0.715,0.72,0.706,0.716,21401200,15276936
159859.SZ,2022-03-01,0.718,0.723,0.714,0.719,19861200,14298996
159859.SZ,2022-03-02,0.717,0.717,0.706,0.712,21733300,15405083
159859.SZ,2022-03-03,0.713,0.718,0.703,0.706,18368300,13001893
159859.SZ,2022-03-04,0.701,0.717,0.699,0.709,17968000,12813534
159859.SZ,2022-03-07,0.706,0.706,0.682,0.684,21813400,15027301
159859.SZ,2022-03-08,0.676,0.689,0.659,0.661,27657200,18576457
159859.SZ,2022-03-09,0.665,0.666,0.622,0.648,31293400,20193482
159859.SZ,2022-03-10,0.659,0.672,0.658,0.67,21085202,14029127
159859.SZ,2022-03-11,0.66,0.69,0.658,0.689,26700000,17916006
159859.SZ,2022-03-14,0.7,0.705,0.687,0.688,33091300,22985257
159859.SZ,2022-03-15,0.683,0.692,0.667,0.669,21599702,14672456
159859.SZ,2022-03-16,0.682,0.693,0.654,0.688,19996001,13449432
159859.SZ,2022-03-17,0.691,0.727,0.691,0.712,42615402,30376421
159859.SZ,2022-03-18,0.715,0.727,0.705,0.726,27067100,19373722
159859.SZ,2022-03-21,0.73,0.736,0.718,0.735,26598100,19340228
159859.SZ,2022-03-22,0.735,0.735,0.712,0.713,19559600,14073744
159859.SZ,2022-03-23,0.712,0.732,0.71,0.727,24921700,18062288
159859.SZ,2022-03-24,0.72,0.757,0.716,0.75,41533400,30727421
159859.SZ,2022-03-25,0.75,0.75,0.726,0.727,30648500,22508742
159859.SZ,2022-03-28,0.726,0.73,0.716,0.718,25515800,18436016
159859.SZ,2022-03-29,0.719,0.735,0.716,0.73,24848500,18145334
159859.SZ,2022-03-30,0.734,0.741,0.722,0.738,24633623,18074799
159859.SZ,2022-03-31,0.74,0.748,0.733,0.737,24659210,18226454
159859.SZ,2022-04-01,0.729,0.732,0.721,0.727,111794601,81412218
159859.SZ,2022-04-06,0.728,0.739,0.727,0.733,21403403,15680262
159859.SZ,2022-04-07,0.725,0.734,0.716,0.716,16976100,12270989
159859.SZ,2022-04-08,0.721,0.725,0.706,0.709,17366300,12351551
159859.SZ,2022-04-11,0.704,0.713,0.694,0.697,22379600,15695185
159859.SZ,2022-04-12,0.694,0.712,0.692,0.711,23167123,16298323
159859.SZ,2022-04-13,0.71,0.71,0.685,0.686,28760104,19883242
159859.SZ,2022-04-14,0.692,0.692,0.668,0.678,27891100,18907388
159859.SZ,2022-04-15,0.678,0.698,0.672,0.689,26098800,17945320
159859.SZ,2022-04-18,0.689,0.693,0.677,0.69,23279700,15965293
159859.SZ,2022-04-19,0.697,0.698,0.67,0.673,25546100,17334065
159859.SZ,2022-04-20,0.678,0.678,0.659,0.661,28806500,19167280
159859.SZ,2022-04-21,0.653,0.665,0.645,0.646,31688100,20832301
159859.SZ,2022-04-22,0.645,0.646,0.632,0.636,23339300,14883055
159859.SZ,2022-04-25,0.634,0.634,0.602,0.603,32320001,20038368
159859.SZ,2022-04-26,0.603,0.622,0.601,0.612,26435000,16208533
159859.SZ,2022-04-27,0.607,0.624,0.595,0.623,28089500,17161596
159859.SZ,2022-04-28,0.623,0.624,0.609,0.616,25887909,15936402
159859.SZ,2022-04-29,0.617,0.637,0.615,0.635,31772908,19856182
159859.SZ,2022-05-05,0.634,0.638,0.627,0.635,99001507,62750307
159859.SZ,2022-05-06,0.626,0.63,0.618,0.622,21752402,13546358
159859.SZ,2022-05-09,0.622,0.625,0.614,0.62,17269300,10722666
159859.SZ,2022-05-10,0.616,0.626,0.61,0.622,22227600,13795162
159859.SZ,2022-05-11,0.625,0.655,0.625,0.643,33952502,21947850
159859.SZ,2022-05-12,0.641,0.656,0.635,0.649,24471100,15834407
159859.SZ,2022-05-13,0.649,0.656,0.641,0.645,21479609,13858198
159859.SZ,2022-05-16,0.645,0.65,0.631,0.632,33412300,21263326
159859.SZ,2022-05-17,0.632,0.632,0.618,0.625,32110200,19943963
159859.SZ,2022-05-18,0.627,0.629,0.618,0.62,23396501,14522921
159859.SZ,2022-05-19,0.61,0.615,0.608,0.613,29016500,17711370
159859.SZ,2022-05-20,0.614,0.636,0.614,0.634,43948504,27663166
159859.SZ,2022-05-23,0.64,0.656,0.633,0.637,40028204,25512865
159859.SZ,2022-05-24,0.637,0.64,0.614,0.615,36529700,22790026
159859.SZ,2022-05-25,0.614,0.616,0.609,0.614,22372300,13694970
159859.SZ,2022-05-26,0.614,0.615,0.6,0.603,37417200,22574864
159859.SZ,2022-05-27,0.607,0.618,0.604,0.607,33112000,20254954
159859.SZ,2022-05-30,0.608,0.617,0.602,0.613,30787300,18676578
159859.SZ,2022-05-31,0.611,0.626,0.604,0.625,39920603,24503213
159859.SZ,2022-06-01,0.623,0.63,0.618,0.623,30269303,18903609
159859.SZ,2022-06-02,0.623,0.624,0.612,0.617,29582119,18210619
159859.SZ,2022-06-06,0.617,0.634,0.612,0.632,35527860,22226046
159859.SZ,2022-06-07,0.632,0.644,0.632,0.642,31468779,20130796
159859.SZ,2022-06-08,0.643,0.661,0.641,0.651,30598700,19894182
159859.SZ,2022-06-09,0.65,0.655,0.635,0.637,29240701,18762980
159859.SZ,2022-06-10,0.635,0.645,0.633,0.644,23578300,15047974
159859.SZ,2022-06-13,0.639,0.639,0.626,0.631,34125800,21468211
159859.SZ,2022-06-14,0.626,0.636,0.619,0.634,33363600,20894196
159859.SZ,2022-06-15,0.634,0.649,0.634,0.648,37937000,24388502
159859.SZ,2022-06-16,0.646,0.657,0.643,0.65,37386000,24355663
159859.SZ,2022-06-17,0.65,0.674,0.641,0.673,44572702,29342281
159859.SZ,2022-06-20,0.674,0.688,0.673,0.682,48154400,32794265
159859.SZ,2022-06-21,0.682,0.688,0.67,0.677,28636600,19423197
159859.SZ,2022-06-22,0.675,0.682,0.663,0.664,27103200,18198858
159859.SZ,2022-06-23,0.661,0.668,0.65,0.666,40908300,26896942
159859.SZ,2022-06-24,0.673,0.687,0.666,0.685,39709701,27021629
159859.SZ,2022-06-27,0.684,0.704,0.684,0.699,37740800,26355604
159859.SZ,2022-06-28,0.699,0.699,0.683,0.698,30329920,20932293
159859.SZ,2022-06-29,0.691,0.715,0.691,0.695,54061200,37958525
159859.SZ,2022-06-30,0.7,0.72,0.696,0.712,43139700,30659047
159859.SZ,2022-07-01,0.712,0.717,0.705,0.71,27221500,19338897
159859.SZ,2022-07-04,0.712,0.744,0.712,0.744,48358000,35454206
159859.SZ,2022-07-05,0.746,0.754,0.728,0.745,46668800,34527018
159859.SZ,2022-07-06,0.745,0.758,0.73,0.737,38452101,28569763
159859.SZ,2022-07-07,0.736,0.738,0.712,0.72,63457900,45754923
159859.SZ,2022-07-08,0.722,0.737,0.721,0.727,55982700,40788430
159859.SZ,2022-07-11,0.729,0.734,0.713,0.719,40147100,28951446
159859.SZ,2022-07-12,0.718,0.724,0.69,0.691,61385900,42773098
159859.SZ,2022-07-13,0.689,0.697,0.685,0.692,37448902,25840679
159859.SZ,2022-07-14,0.692,0.712,0.691,0.704,33385000,23554822
159859.SZ,2022-07-15,0.704,0.706,0.687,0.688,27306800,19044045
159859.SZ,2022-07-18,0.689,0.691,0.667,0.684,41965700,28514154
159859.SZ,2022-07-19,0.684,0.687,0.671,0.675,32818400,22220224
159859.SZ,2022-07-20,0.678,0.693,0.678,0.686,27278100,18695029
159859.SZ,2022-07-21,0.685,0.693,0.681,0.685,26198600,17978180
159859.SZ,2022-07-22,0.685,0.69,0.671,0.675,32837904,22278209
159859.SZ,2022-07-25,0.675,0.68,0.667,0.675,20980304,14145765
159859.SZ,2022-07-26,0.685,0.685,0.668,0.671,26291300,17657002
159859.SZ,2022-07-27,0.673,0.674,0.661,0.663,35899400,23841061
159859.SZ,2022-07-28,0.667,0.667,0.657,0.658,30021900,19848665
159859.SZ,2022-07-29,0.658,0.658,0.638,0.641,45000700,29129957
159859.SZ,2022-08-01,0.638,0.64,0.628,0.639,31124300,19763956
159859.SZ,2022-08-02,0.638,0.638,0.619,0.623,37056900,23164172
159859.SZ,2022-08-03,0.625,0.635,0.622,0.626,31191100,19579793
159859.SZ,2022-08-04,0.628,0.639,0.628,0.638,38727100,24558475
159859.SZ,2022-08-05,0.638,0.656,0.638,0.655,42908600,27893190
159859.SZ,2022-08-08,0.658,0.662,0.647,0.65,26248000,17140367
159859.SZ,2022-08-09,0.648,0.648,0.641,0.645,27367000,17598737
159859.SZ,2022-08-10,0.644,0.647,0.63,0.635,27766700,17692262
159859.SZ,2022-08-11,0.637,0.657,0.636,0.655,39332900,25535839
159859.SZ,2022-08-12,0.659,0.66,0.649,0.658,28673900,18842810
159859.SZ,2022-08-15,0.659,0.66,0.646,0.648,32328900,20999338
159859.SZ,2022-08-16,0.647,0.648,0.638,0.64,39886900,25566880
159859.SZ,2022-08-17,0.639,0.649,0.635,0.645,25201209,16202195
159859.SZ,2022-08-18,0.644,0.644,0.628,0.63,48670910,30841405
159859.SZ,2022-08-19,0.628,0.633,0.624,0.63,32751400,20578806
159859.SZ,2022-08-22,0.629,0.629,0.618,0.628,32715300,20400713
159859.SZ,2022-08-23,0.625,0.628,0.614,0.615,50019831,30868391
159859.SZ,2022-08-24,0.616,0.621,0.607,0.608,36730300,22489935
159859.SZ,2022-08-25,0.61,0.616,0.605,0.615,37461200,22879547
159859.SZ,2022-08-26,0.617,0.627,0.613,0.619,34084208,21122444
159859.SZ,2022-08-29,0.611,0.612,0.605,0.61,45415000,27600655
159859.SZ,2022-08-30,0.611,0.611,0.601,0.609,48502010,29309305
159859.SZ,2022-08-31,0.605,0.622,0.605,0.617,50900300,31288980
159859.SZ,2022-09-01,0.614,0.626,0.613,0.617,42778499,26571689
159859.SZ,2022-09-02,0.619,0.624,0.607,0.612,41169999,25190378
159859.SZ,2022-09-05,0.611,0.612,0.595,0.597,76847401,46110218
159859.SZ,2022-09-06,0.597,0.599,0.588,0.594,84596202,50083975
159859.SZ,2022-09-07,0.592,0.594,0.585,0.592,50086401,29500590
159859.SZ,2022-09-08,0.591,0.593,0.582,0.583,56004151,32860151
159859.SZ,2022-09-09,0.586,0.594,0.586,0.594,65922395,38967363
159859.SZ,2022-09-13,0.593,0.593,0.579,0.58,97048406,56579693
159859.SZ,2022-09-14,0.574,0.574,0.567,0.573,50528009,28854403
