symbol,date,open,high,low,close,volume,amount
588160.SH,2022-10-26,0.993,1.001,0.974,0.998,326918100,323770416
588160.SH,2022-10-27,1.001,1.007,0.979,0.981,257700100,257531431
588160.SH,2022-10-28,0.973,0.983,0.949,0.954,41786600,40266478
588160.SH,2022-10-31,0.954,0.991,0.942,0.982,48075800,47075358
588160.SH,2022-11-01,0.982,1.002,0.975,0.995,47273300,47048288
588160.SH,2022-11-02,0.99,1.016,0.99,1.007,103140400,103758265
588160.SH,2022-11-03,1.002,1.027,0.998,1.025,48747900,49742609
588160.SH,2022-11-04,1.024,1.052,1.023,1.052,47686200,49700985
588160.SH,2022-11-07,1.051,1.06,1.038,1.044,30731100,32165593
588160.SH,2022-11-08,1.039,1.054,1.029,1.036,26844400,27875773
588160.SH,2022-11-09,1.036,1.048,1.03,1.035,44720500,46436113
588160.SH,2022-11-10,1.035,1.035,1.004,1.005,33955600,34435196
588160.SH,2022-11-11,1.023,1.039,1.011,1.013,19800700,20183275
588160.SH,2022-11-14,1.011,1.023,0.999,1.008,19542600,19700906
588160.SH,2022-11-15,1.006,1.041,0.999,1.041,26295700,26965394
588160.SH,2022-11-16,1.037,1.039,1.017,1.022,11983000,12283984
588160.SH,2022-11-17,1.015,1.015,0.994,1.014,17955400,18017315
588160.SH,2022-11-18,1.014,1.023,1.002,1.005,25408900,25673447
588160.SH,2022-11-21,1.007,1.018,0.997,1.017,18564200,18733380
588160.SH,2022-11-22,1.013,1.015,1.0,1.003,21021700,21127983
588160.SH,2022-11-23,1.003,1.007,0.977,1.003,27309600,27065771
588160.SH,2022-11-24,1.005,1.017,1.001,1.008,21014400,21208521
588160.SH,2022-11-25,1.01,1.01,0.985,0.986,19253800,19104288
588160.SH,2022-11-28,0.978,0.98,0.96,0.976,22388200,21809674
588160.SH,2022-11-29,0.98,0.984,0.968,0.98,19238700,18845783
588160.SH,2022-11-30,0.98,0.99,0.977,0.979,23379300,22997286
588160.SH,2022-12-01,0.988,1.011,0.988,1.001,26276200,26379135
588160.SH,2022-12-02,1.0,1.018,1.0,1.004,20561300,20696285
588160.SH,2022-12-05,1.02,1.02,0.995,1.0,20879100,20839520
588160.SH,2022-12-06,0.994,1.016,0.99,1.009,18762800,18911641
588160.SH,2022-12-07,1.005,1.025,1.001,1.015,16023100,16310127
588160.SH,2022-12-08,1.01,1.018,1.003,1.005,14718400,14864655
588160.SH,2022-12-09,1.001,1.008,0.994,0.995,19750000,19695811
588160.SH,2022-12-12,0.994,1.002,0.981,0.995,15984000,15886885
588160.SH,2022-12-13,0.996,0.998,0.975,0.976,14724900,14441644
588160.SH,2022-12-14,0.981,0.987,0.969,0.97,13323400,12989303
588160.SH,2022-12-15,0.971,0.978,0.963,0.977,15489800,15064694
588160.SH,2022-12-16,0.953,0.98,0.948,0.951,16756200,15978871
588160.SH,2022-12-19,0.949,0.962,0.94,0.943,13304500,12575199
588160.SH,2022-12-20,0.935,0.943,0.931,0.935,9798900,9158097
588160.SH,2022-12-21,0.933,0.933,0.915,0.917,11779300,10848032
588160.SH,2022-12-22,0.923,0.923,0.891,0.893,13992100,12632158
588160.SH,2022-12-23,0.892,0.892,0.874,0.88,12915000,11368837
588160.SH,2022-12-26,0.885,0.917,0.885,0.917,16931200,15313205
588160.SH,2022-12-27,0.92,0.93,0.913,0.929,17936900,16553679
588160.SH,2022-12-28,0.929,0.929,0.916,0.919,10661200,9802652
588160.SH,2022-12-29,0.917,0.929,0.917,0.921,15377100,14206461
588160.SH,2022-12-30,0.921,0.929,0.911,0.911,22479600,20585202
588160.SH,2023-01-03,0.91,0.938,0.906,0.936,10810500,9928358
588160.SH,2023-01-04,0.936,0.937,0.921,0.927,21435900,19834886
588160.SH,2023-01-05,0.927,0.946,0.926,0.944,16207100,15231414
588160.SH,2023-01-06,0.943,0.969,0.943,0.958,21159800,20323721
588160.SH,2023-01-09,0.961,0.969,0.954,0.957,13266400,12720159
588160.SH,2023-01-10,0.957,0.959,0.95,0.955,21433100,20434528
588160.SH,2023-01-11,0.96,0.96,0.938,0.941,18784600,17801426
588160.SH,2023-01-12,0.946,0.957,0.945,0.947,10438900,9903179
588160.SH,2023-01-13,0.95,0.95,0.932,0.939,12319400,11564515
588160.SH,2023-01-16,0.938,0.964,0.937,0.958,16673300,15950654
588160.SH,2023-01-17,0.963,0.98,0.96,0.966,8356100,8082942
588160.SH,2023-01-18,0.972,0.974,0.965,0.97,4780100,4632313
588160.SH,2023-01-19,0.961,0.98,0.96,0.979,10846000,10572019
588160.SH,2023-01-20,0.983,0.987,0.978,0.982,7835400,7696270
588160.SH,2023-01-30,0.982,1.007,0.982,0.996,18036500,18074778
588160.SH,2023-01-31,0.991,0.999,0.989,0.997,15173300,15116715
588160.SH,2023-02-01,1.005,1.014,1.001,1.013,23502700,23741428
588160.SH,2023-02-02,1.013,1.024,1.012,1.016,17601800,17900167
588160.SH,2023-02-03,1.015,1.015,0.995,1.008,24285300,24366293
588160.SH,2023-02-06,0.99,1.008,0.99,0.998,21294400,21303976
588160.SH,2023-02-07,0.998,1.003,0.991,0.998,19363100,19275433
588160.SH,2023-02-08,1.003,1.005,0.994,0.995,10034600,10032646
588160.SH,2023-02-09,0.996,1.015,0.993,1.015,17068500,17230072
588160.SH,2023-02-10,1.007,1.012,0.998,1.007,11142700,11206011
588160.SH,2023-02-13,1.007,1.013,1.006,1.008,23565600,23757922
588160.SH,2023-02-14,1.014,1.014,1.002,1.008,12871300,12945139
588160.SH,2023-02-15,1.009,1.01,0.999,1.004,26943400,27034069
588160.SH,2023-02-16,1.0,1.003,0.972,0.977,24939500,24765314
588160.SH,2023-02-17,0.977,0.978,0.965,0.965,27714200,26876108
588160.SH,2023-02-20,0.965,0.967,0.95,0.967,20570500,19665549
588160.SH,2023-02-21,0.966,0.973,0.961,0.966,11436300,11042266
588160.SH,2023-02-22,0.964,0.966,0.96,0.963,10046300,9674000
588160.SH,2023-02-23,0.966,0.97,0.961,0.967,11407700,11011441
588160.SH,2023-02-24,0.967,0.968,0.958,0.959,20479000,19667843
588160.SH,2023-02-27,0.939,0.964,0.939,0.952,16737400,15928448
588160.SH,2023-02-28,0.952,0.954,0.945,0.954,19172800,18200779
588160.SH,2023-03-01,0.954,0.958,0.95,0.958,11993800,11452065
588160.SH,2023-03-02,0.953,0.956,0.94,0.941,18865500,17782695
588160.SH,2023-03-03,0.942,0.947,0.938,0.941,19444800,18279508
588160.SH,2023-03-06,0.944,0.954,0.935,0.952,21627500,20452451
588160.SH,2023-03-07,0.952,0.952,0.934,0.936,14991800,14128746
588160.SH,2023-03-08,0.936,0.937,0.928,0.935,9092400,8469946
588160.SH,2023-03-09,0.942,0.956,0.937,0.939,10162000,9582106
588160.SH,2023-03-10,0.944,0.944,0.923,0.934,12392800,11565729
588160.SH,2023-03-13,0.929,0.93,0.914,0.921,15029400,13806447
588160.SH,2023-03-14,0.927,0.928,0.91,0.927,17567300,16186886
588160.SH,2023-03-15,0.938,0.944,0.924,0.927,10130500,9447982
588160.SH,2023-03-16,0.923,0.928,0.908,0.91,9222800,8456865
588160.SH,2023-03-17,0.915,0.916,0.904,0.907,11489900,10440670
588160.SH,2023-03-20,0.907,0.913,0.895,0.909,20371500,18435735
588160.SH,2023-03-21,0.91,0.921,0.906,0.921,13729000,12546708
588160.SH,2023-03-22,0.918,0.929,0.918,0.921,22928200,21184336
